Time	Node	Type	Packets	
15	1	CacheHits	0
15	1	CacheMisses	0
15	2	CacheHits	0
15	2	CacheMisses	0
15	3	CacheHits	0
15	3	CacheMisses	0
15	4	CacheHits	0
15	4	CacheMisses	0
15	5	CacheHits	0
15	5	CacheMisses	0
15	6	CacheHits	0
15	6	CacheMisses	0
15	7	CacheHits	0
15	7	CacheMisses	0
15	8	CacheHits	0
15	8	CacheMisses	0
16	0	CacheHits	100
16	0	CacheMisses	0
16	1	CacheHits	0
16	1	CacheMisses	0
16	2	CacheHits	0
16	2	CacheMisses	0
16	3	CacheHits	0
16	3	CacheMisses	0
16	4	CacheHits	0
16	4	CacheMisses	0
16	5	CacheHits	0
16	5	CacheMisses	0
16	6	CacheHits	0
16	6	CacheMisses	0
16	7	CacheHits	0
16	7	CacheMisses	0
16	8	CacheHits	0
16	8	CacheMisses	0
17	0	CacheHits	100
17	0	CacheMisses	0
17	1	CacheHits	0
17	1	CacheMisses	0
17	2	CacheHits	0
17	2	CacheMisses	0
17	3	CacheHits	0
17	3	CacheMisses	0
17	4	CacheHits	0
17	4	CacheMisses	0
17	5	CacheHits	0
17	5	CacheMisses	0
17	6	CacheHits	0
17	6	CacheMisses	0
17	7	CacheHits	0
17	7	CacheMisses	0
17	8	CacheHits	0
17	8	CacheMisses	0
18	0	CacheHits	100
18	0	CacheMisses	0
18	1	CacheHits	0
18	1	CacheMisses	0
18	2	CacheHits	0
18	2	CacheMisses	0
18	3	CacheHits	0
18	3	CacheMisses	0
18	4	CacheHits	0
18	4	CacheMisses	0
18	5	CacheHits	0
18	5	CacheMisses	0
18	6	CacheHits	0
18	6	CacheMisses	0
18	7	CacheHits	0
18	7	CacheMisses	0
18	8	CacheHits	0
18	8	CacheMisses	0
19	0	CacheHits	100
19	0	CacheMisses	0
19	1	CacheHits	0
19	1	CacheMisses	0
19	2	CacheHits	0
19	2	CacheMisses	0
19	3	CacheHits	0
19	3	CacheMisses	0
19	4	CacheHits	0
19	4	CacheMisses	0
19	5	CacheHits	0
19	5	CacheMisses	0
19	6	CacheHits	0
19	6	CacheMisses	0
19	7	CacheHits	0
19	7	CacheMisses	0
19	8	CacheHits	0
19	8	CacheMisses	0
